0000212500チャット chat 聊天，利用电脑网络进行的对话    0003659 名 ①
0050127800～付ける ～づける (接在名词后)使建立，使产生    0502703 接尾
0050596800～っこ ～っこ (接在动词连用形后)(相互)进行比赛    0507220 接尾
0050942500～っ子 ～っこ (接在名词、动词连用形后)…人；孩子    0510370 接尾
0051290000続き つづき 继续，后续，下文    0514433 名 ⓪
0051843500突っ込む つっこむ 闯入，突围；深入；扎入，插入；追究，严加追问；投身于…,干预    0519839 自他動1 ③
0053173800包み つつみ 包裹，包袱    0533140 名 ③
0053545800～包み ～つつみ (计算包裹数等的量词)…袋、包    0536671 接尾
0053930700勤め つとめ 上班，工作，干活    0540740 名 ③
0054449800務め つとめ 职责，本分，义务    0545296 名 ③
0054899400勤め先 つとめさき 工作单位，上班的地方    0550504 名 ⓪
0055400200務める つとめる 担任…职务，担当角色，起到…作用    0555304 他動2 ③
0056218000努める つとめる 尽力，努力；强忍着…,勉强做…    0563349 自動2 ③
0056842100綱 つな 绳索，钢缆；命脉，靠山    0569197 名 ②
0057419800繋がり つながり 接连，相连(的东西);关联，联系    0575873 名 ②
0058050200繋がる つながる 连接；接通，连贯起来；牵涉，与…相关联    0581896 名 ⓪
0058925300繋げる つなげる 接上，连上    0590589 自動1 ⓪
0059323800常 つね 经常，常规；普通，平常，日常；常情，理所当然的事    0594397 名 ①
0060335400常々 つねづね 平素，经常    0604607 名副 ②③
0060709800呟く つぶやく 嘟哝，小声说话    0608668 自動1 ③
0061142600つまずく つまずく 绊倒；受挫，栽跟头    0612678 自動1 ③⓪
0061737700つまみ つまみ 旋钮，开关；下酒菜    0618544 名 ⓪
0062245300積み重ねる つみかさねる 堆起，垒起；(点滴)积累    0624150 他動2 ⑤
0062747800摘む つむ 摘，掐；剪，(用剪刀)修剪    0628640 他動1 ⓪
0063287300詰める つめる 塞满，填满；缩短，缩小；节俭，节约    0633789 自他動2 ②
0064034500艶 つや 光泽，光亮；兴味，亮点，精彩之处    0641310 名 ⓪
0064718900強気 つよき 气盛，好强，强硬    0648747 名 ⓪
0065239200強まる つよまる 增强，加强    0653699 自動1 ③
0065630400強める つよめる 加强，增强    0657777 他動2 ③
0066067700釣り つり 钓鱼；找零的钱    0661840 名 ⓪
0066482800釣り合う つりあう 匀称，相称，保持平衡；相配，般配    0665993 自動1 ③
0067192400吊革 つりかわ (公共车辆中的)吊环，拉手    0673595 名 ⓪
0067585700釣銭 つりせん 找头，找零的钱    0677394 名 ⓪②
0068018600蔓 つる 藤蔓；门路，关系，线索    0680973 名 ②①
0068539900鶴 つる 鹤    0686212 名 ①
0068770300吊る つる 吊，悬挂    0688464 自他動1 ⓪
0069070000連れ つれ 带领，伴随；同伴，伙伴    0691543 名 ⓪
0069615300~連れ ～づれ 带领…,与…结伴；(表示轻蔑)…之辈    0697055 接尾
0070159500手～ て～ (亲手)制作；(接形容词、形容动词前)表示强调    0702269 接頭
0070547000手当て てあて 紧贴，补贴；处理，治疗，护理，照顾    0706885 名他動3 ①
0071328300低～ てい～ 低…,等级、程度等低    0713989 接頭
0071811800提案 ていあん 提案，提出意见或建议    0719325 名他動3 ⓪
0072303300定価 ていか 定价，对商品所定下的价格    0724169 名 ⓪
0072830300低下 ていか 降低，下降；恶化，(程度、机能等)变差    0729298 名自動3 ⓪
0073373500定期 ていき 定期，时间、期限等事先确定    0734810 名 ①
0073957200定休日 ていきゅうび 定期休息日，公休日；公司商店等单位规定的休息日    0740923 名 ③
0074775100提供 ていきょう 提供，给予…以供使用    0749166 名他動3 ⓪
0075309300停止 ていし 中止，停止    0754054 名自他動3 ⓪
0075689100データ data 事实，资料；(计算机)程序处理的数据    0757777 名 ①
0076270300でかい でかい (俗语)大的    0763761 イ形 ②
0076519100手軽 てがる 简便的，轻易的，不繁琐的    0766429 ナ形 ⓪
0077002900出来 でき 做完，做成；收获，成绩，能力    0771124 名 ⓪
0077647500的確・適確 てきかく 的确，确实，非常合适    0777839 名ナ形 ⓪
0078165600適切 てきせつ 合适，恰当，妥帖    0782954 名ナ形 ⓪
0078650100適用 てきよう 适用，应用    0787767 名他動3 ⓪
0079021100手頃 てごろ 合手，手拿着正合适；适合    0791429 名ナ形 ⓪
0079596700デザイナー designer (衣服、建筑等的)设计师    0797155 名 ②⓪
0079893300手触り てざわり 手感，手摸时的触感    0800252 名 ②
0080349200弟子 でし 弟子，徒弟    0804368 名 ②
0080683300デジカメ digital_camera 数码相机    0808162 名 ⓪
0081023900デジタル digital 数字的，使用二进制的    0811168 名 ①
0081437400手品 てじな 戏法，魔术；鬼把戏，手腕儿    0815255 名 ①
0082006000手数料 てすうりょう 手续费，佣金，回扣    0821274 名 ②
0082484900手すり てすり 栏杆，扶手    0825695 名 ③
0082816200でたらめ でたらめ 胡言乱语，不着边际    0829453 名ナ形 ⓪
0083264000哲学 てつがく 哲学    0833929 名 ②⓪
0083556600鉄橋 てっきょう 铁桥，钢铁铸造的桥    0836875 名 ⓪
0083990900鉄鋼 てっこう 钢铁    0841281 名 ⓪
0084260500徹底 てってい 彻底，贯彻到底    0844015 名他動3 ⓪
0084679400徹底的 てっていてき 彻底的，充分的，无丝毫遗漏之处的    0848528 ナ形 ⓪
0085345700鉄砲 てっぽう 大炮、步枪等的总称    0854550 名 ⓪
0085752600徹夜 てつや 彻夜(不眠),通宵    0858620 名自動3 ⓪
0086124800手取り てどり (扣除税款的)净收入，实际收入    0862584 名 ③⓪
0086549700でないと でないと 不然的话，不是这样的话    0866664 接 ②
0086978700手抜き てぬき 偷工减料    0870818 名自他動3 ⓪
0087297900手ぬぐい てぬぐい 洗脸、洗澡时用的手巾    0873836 名 ⓪
0087728000手ぶり てぶり 手势，手的动作    0877944 名 ①
0088084600完了 完了 完了   
